Institution,Position,Address,URL
"Arizona SU, C of Integrative Sci & Arts","Open Rank Tenure-Line Faculty, Technical Communication [25550]","University C, 411 North Central Ave., Suite 300 Mailcode 0120, Phoenix, AZ 85004",https://apply.interfolio.com/37258
Augusta U,Assistant Professor of English [25411],"1120 15th St, Augusta, GA 30912",https://apply.interfolio.com/37220
Baylor U,Lecturer in English [25610],"Waco, TX 76798",https://apply.interfolio.com/37406
Baylor U,Postdoctoral Fellowship [25611],"Waco, TX 76798",https://apply.interfolio.com/37408
Boston U,"Assoc. Director for Writing in the Disciplines, Professor or Assoc. Prof. of the Practice [25585]","236 Bay State Rd, Boston, MA 02215",https://apply.interfolio.com/37366
California Inst of Tech,Hixon Postdoctoral Instructor in STEM Writing and Communication [25662],"1200 E California Blvd H&SS 228-77, Pasadena, CA 91125",https://apply.interfolio.com/37505
"California SU, San Marcos","Assistant Professor in Digital Rhetoric, Digital Writing, Digital Literature [25474]","333 S Twin Oaks Valley Rd, San Marcos, CA 92096",https://apply.interfolio.com/37242
Duke U,Lecturing Fellow [25366],"101 Art Bldg, Durham, NC 27708",https://apply.interfolio.com/37211
Erskine C,Professor of English [25580],"Due West, SC 29639",https://apply.interfolio.com/37362
Illinois SU,Assistant Professor in Technical Communication [25658],"Normal, IL 61790",https://apply.interfolio.com/37495
Illinois Valley Comm C,"English/Reading Instructor, Tenure Track, Spring 2017 [25414]","815 N Orlando Smith Rd, Oglesby, IL 61348",https://apply.interfolio.com/37221
Lindenwood U,"Assistant Professor, English [25635]","209 S Kingshighway, St Charles, MO 63301",https://apply.interfolio.com/37459
Miami U,Advanced Assist/Early Associate Professor and Director of Composition in English [25544],"356 Bachelor Hall, Oxford, OH 45056",https://apply.interfolio.com/37255
Middlebury C,Professor of Writing [25360],"15 Old Chapel Rd, Middlebury, VT 05753",https://apply.interfolio.com/36394
Montclair SU,Assistant Professor in Professional or Technical Writing [25583],"Upper Montclair, NJ 07043",https://apply.interfolio.com/37371
Montclair SU,"Open Rank, Writing Studies [25584]","Upper Montclair, NJ 07043",https://apply.interfolio.com/37372
National U of Singapore,Lecturer [25547],"10 Architecture Drive, Singapore 117511 Singapore",https://apply.interfolio.com/37256
New York U,Clinical Asst Professor First-Year/Writing Program (Interdisciplinary Humanities & Social Sciences) [25456],"715 Broadway, New York, NY 10003",https://apply.interfolio.com/36841
Oklahoma SU,Assistant Professor and Director of the University Writing Center [25507],"205 Morrill Hall, Stillwater, OK 74078",https://apply.interfolio.com/37249
Salisbury U,"Assistant Professor of English, Writing Center Director [25506]","1101 Camden Av, Salisbury, MD 21801",https://apply.interfolio.com/37248
Susquehanna U,Assistant Professor of Digital Publishing and Writing [25367],"514 University Av, Selinsgrove, PA 17870",https://apply.interfolio.com/37212
Towson U,"Assistant Professor of English, Technical Communication [25579]","8000 York Rd, Towson, MD 21252",https://apply.interfolio.com/37360
"U of Colorado, Colorado Springs",Assistant Professor of Rhetoric/Professional Writing [25503],"1420 Austin Bluffs Pky, Colorado Springs, CO 80918",https://apply.interfolio.com/37247
U of Maryland Baltimore County,Assistant Professor in Digital Humanities and Assistant Professor in Rhetoric and Composition [25399],"1000 Hilltop Cir, PAHB 433, Baltimore, MD 21250",https://apply.interfolio.com/36461
U of Puget Sound,"Assistant Professor in Writing, New Media, and Digital Literacies [25452]","1500 N Warner, Tacoma, WA 98416",https://apply.interfolio.com/37233
U of Tampa,"Assistant Professor of English and Writing (Academic Writing, Term) [25554]","401 W Kennedy Blvd, Box R, Tampa, FL 33606",https://apply.interfolio.com/37260
U of Toledo,Assistant Professor of Composition and Rhetoric [25453],"2801 W Bancroft MS 126, Toledo, OH 43606",https://apply.interfolio.com/37234
U of Washington,"Lecturer, English Department, Interdisciplinary Writing Program [25498]","Padelford Hall, Seattle, WA 98195",https://apply.interfolio.com/36583
Virginia Military Inst,Instructor or Lecturer in English [25433],"227 Scott Shipp Hall, Lexington, VA 24450",https://apply.interfolio.com/37230
Virginia Polytechnic Inst & SU,Assistant Professor of Tech. Comm. & Data Visualization [25632],"323 Shanks Hall 0112, Blacksburg, VA 24061",https://apply.interfolio.com/37431
Virginia Polytechnic Inst & SU,Clifford A. Cutchins III Professorship [25634],"323 Shanks Hall 0112, Blacksburg, VA 24061",https://apply.interfolio.com/37458
Western Oregon U,First-Year Writing Coordinator/English Faculty [25472],"345 N Monmouth Av, Monmouth, OR 97361",https://apply.interfolio.com/37240
Rowan University,Assistant Professor of Writing Arts [rhetmap 1],"201 Mullica Hill Rd, Glassboro, NJ 08028",https://rowanuniversity.hodesiq.com/jobs/assistant-professor-writing-arts-glassboro-new-jersey-job-5332682
"California SU, Channel Islands","Assistant Professor, English Education (Undergraduate) [25695]","1 University Dr, Camarillo, CA 93012",https://apply.interfolio.com/37688
"California SU, Sacramento",Asst. Professor Rhet/Comp (Professional Writing) [25768],"Sacramento, CA 95819",https://apply.interfolio.com/37711
Christopher Newport U,Assistant Professor of English (Professional & Technical Writing) #8035 [25719],"1 University Pl, Newport News, VA 23606",https://apply.interfolio.com/37691
Clemson U,Assistant Professor- Rhetorics [25810],"801 Strode Tower, Clemson, SC 29634",https://apply.interfolio.com/37638
Georgia Southern U,Assistant Professor of Creative Writing/Poetry [25792],"Statesboro, GA 30460",https://apply.interfolio.com/37716
Georgia Southern U,Assistant or Associate Professor of Interdisciplinary Writing [25794],"Statesboro, GA 30460",https://apply.interfolio.com/37717
National U of Singapore,"Lecturer, Writing and Critical Thinking [25710]","18 College Avenue East, 01 Singapore 138593",https://apply.interfolio.com/37689
Ohio U,"Lecturer, Composition - Up to two positions available [25758]","360 Ellis Hall, Athens, OH 45701",https://apply.interfolio.com/37703
Seattle U,Director of Writing Center [25759],"901 12th Av PO Box 222000, Seattle, WA 98122",https://apply.interfolio.com/37704
Syracuse U,Assistant Professor of Writing and Rhetoric [25716],"239 H B Crouse Hall, Syracuse, NY 13244",https://apply.interfolio.com/37690
"U of Hawaii, Hilo",Assistant Professor of English [25723],"200 W Kawili St, Hilo, HI 96720",https://apply.interfolio.com/37695
U of Tampa,"Assistant Professor of English and Writing (Academic Writing, Term) [25676]","401 W Kennedy Blvd, Box R, Tampa, FL 33606",https://apply.interfolio.com/37675
U of Tampa,Assistant Professor of English and Writing (Fiction) [25677],"401 W Kennedy Blvd, Box R, Tampa, FL 33606",https://apply.interfolio.com/37676
U of Tampa,"Assistant Professor of English and Writing (Creative and Academic Writing, Term) [25678]","401 W Kennedy Blvd, Box R, Tampa, FL 33606",https://apply.interfolio.com/37678
U of Tampa,Assistant Professor of English and Writing (Poetry/Nonfiction) [25679],"401 W Kennedy Blvd, Box R, Tampa, FL 33606",https://apply.interfolio.com/37679
"U of Wisconsin, Oshkosh",Assistant Professor of Professional and Digital Writing [25694],"800 Algoma Blvd, Oshkosh, WI 54901",https://apply.interfolio.com/37687
Miami U,Assistant Professor in Digital Humanities [25877],"356 Bachelor Hall, Oxford, OH 45056",https://apply.interfolio.com/37965
New Mexico State U,Assistant Professor in Technical and Professional Communication. [25892],"1395 International Mall Clara Belle Williams Rm 132, Las Cruces, NM 88003",https://apply.interfolio.com/37969
Ohio SU,Assistant Professor in Professional Writing [25898],"Mansfield, Ohio",https://apply.interfolio.com/37973
"Penn State U, Altoona",Assistant Professor in Rhetoric and Composition [25937],"3000 Ivyside Park, Altoona, PA 16601",https://apply.interfolio.com/37982
Saint John's U,Assistant Professor of English [25852],"8000 Utopia Pky, Queens, NY 11439",https://apply.interfolio.com/37874
Spelman C,Assistant or Associate Professor of Rhetoric / Composition [25872],"350 Spelman Ln SW, Box 745, Atlanta, GA 30314",https://apply.interfolio.com/37962
U of Mary Washington,Assistant Professor of Writing Studies and Digital Studies [25891],"1301 College Av, Fredericksburg, VA 22401",https://apply.interfolio.com/37968
"U of North Carolina, Charlotte",Assistant or Associate Professor in Digital Rhetorics [25896],"9201 University City Blvd, Charlotte, NC 28223",https://apply.interfolio.com/37971
U of Southern Indiana,Assistant Professor of English [25935],"8600 University Blvd, Evansville, IN 47712",https://apply.interfolio.com/37980
U of Utah,Assistant Professor of Writing & Rhetoric Studies [25855],"255 S Central Campus Dr, Rm 3700, Salt Lake City, UT 84112",https://apply.interfolio.com/37995
"U of Wisconsin, Madison",Assistant Professor of English-Composition & Rhetoric [25956],"600 N Park St 7187 Helen C White Hall, Madison, WI 53706",https://apply.interfolio.com/37988
Wagner C,"Assistant Professor of English, Director of the Writing Center [25874]","1 Campus Rd, Staten Island, NY 10301",https://apply.interfolio.com/38002
Western Kentucky U,"Assistant Professor of English, Professional Writing [25943]","1906 College Heights Blvd, 11086, Bowling Green, KY 42101",https://apply.interfolio.com/37986
Brigham Young U,"English Rhetoric and Composition (CFS Track, Professorial) [25961]","4179 JFSB, Provo, UT 84602",https://apply.interfolio.com/38240
Framingham SU,Tenure-Track Assistant Professor of English [25987],"100 State St, Framingham, MA 01701",https://apply.interfolio.com/38256
"U of California, San Diego",Warren College Writing Program Director- Lecturer with Potential Security of Employment [26018],"9500 Gilman Drive MC0631, La Jolla, CA 92093",https://apply.interfolio.com/38260
DePaul U,Assistant Professor and Writing Program Administrator [26047],"N Kenmore Av, Chicago, IL 60614",https://apply.interfolio.com/38270
Hastings C,Faculty Position in Composition/Rhetoric [26042],"710 N Turner Av, Hastings, NE 68902",https://apply.interfolio.com/38269
Iowa SU,Assistant Professor/Director of Public Speaking [26076],"203 Ross Hall, Ames, IA 50011",https://apply.interfolio.com/38277
Framingham SU,Tenure-Track Assistant Professor of English [26090],"100 State St, Framingham, MA 01701",https://apply.interfolio.com/38283
San Jose SU,Writing Center Faculty Director [26084],"1 Washington Sq, San Jose, CA 95192",https://apply.interfolio.com/37571
"U of Tennessee, Martin",Assistant Professor of English and Director of Writing Center [26020],"131 Humanities Bldg 209 Hurt St, Martin, TN 38238",https://apply.interfolio.com/38261
"U of Texas, Tyler",Assistant Professor in English Studies and Digital Rhetoric [26012],"3900 University Blvd, Tyler, TX 75799",https://apply.interfolio.com/38257
U of Rhode Island,Assistant Professor of Writing and Rhetoric [25981],"90 Lower College Rd 319 Roosevelt Hall, Kingston, RI 02881",https://apply.interfolio.com/38294
Colgate U,Assistant Professor of Writing & Rhetoric [26153],"13 Oak Drive, Hamilton, NY 13346",https://apply.interfolio.com/38499
Georgetown U,Assistant Teaching Professor [26180],"306 New North 37th & O Sts NW, Washington, DC 20057",https://apply.interfolio.com/38167
Marlboro C,Tenure Track Position in Writing (Fiction/Poetry) [26239],"Marlboro, VT 05344",https://apply.interfolio.com/38532
Marygrove C,Open-Rank Professor of English [26245],"8425 W McNichols Rd, Detroit, MI 48221",https://apply.interfolio.com/38488
North Carolina SU,"Assistant or Advanced Assistant Professor, Rhetoric and Composition [26170]","PO Box 8105, Raleigh, NC 27695",https://apply.interfolio.com/38506
Ohio SU,Assoc or Full Professor Digital Media Studies [26128],"Denney Hall 421 164 Annie & John Glenn Av, Columbus, OH 43210",https://apply.interfolio.com/38492
Ohio SU,Associate or Full Professor [26132],"Denney Hall 421 164 Annie & John Glenn Av, Columbus, OH 43210",https://apply.interfolio.com/38495
Southern New Hampshire U,On-Campus Assistant Professor of Creative Writing and English [26230],"2500 N River Rd, Manchester, NH 03106",https://apply.interfolio.com/38527
Southern New Hampshire U,On-Campus Assistant Professor of English [26231],"2500 N River Rd, Manchester, NH 03106",https://apply.interfolio.com/38528
"U of California, San Diego","Assistant Director, Earl Warren College Writing Program (Academic Coordinator I- AY /Lecturer) [26195]","9500 Gilman Drive MC0631, La Jolla, CA 92093",https://apply.interfolio.com/38521
"U of California, San Diego","Marshall College, Dimensions of Culture Writing Program Director- Lecturer with Potential Security o [26241]","500 Gilman Drive, Dept 0509, LaJolla, CA 92093",https://apply.interfolio.com/38534
U of Maryland,Assistant Professor of Rhetoric and Composition [26151],"2119 Tawes Hall, College Park, MD 20742",https://apply.interfolio.com/38498
U of Montevallo,"Assistant Professor of English, Rhetoric and Composition [26122]","Sta 6420, Comer Hall, Montevallo, AL 35115",https://apply.interfolio.com/38490
"U of Nevada, Las Vegas",Assistant Professor of English and Director of Composition [26174],"4505 Maryland Pky, Las Vegas, NV 89154",https://apply.interfolio.com/38510
"U of North Carolina, Greensboro",Assistant Professor (Two Positions): Composition Studies / Digital Rhetoric [26192],"3143 MHRA Bldg 1111 Spring Garden St, Greensboro, NC 27412",https://apply.interfolio.com/38518
Indiana Tech,Assistant/Associate Professor [rhetmap 2],"1600 E. Washington Blvd, Fort Wayne, IN 46803",http://hr.indianatech.edu/job/assistantassociate-professor-english/
University of Delaware,Senior Tenured Position in Technical/Professional Writing [rhetmap 3],"Newark, DE 19716",https://apply.interfolio.com/38592
University of Delaware,"Assistant Professor of English, Continuing Track (Associate Director of Writing Center) [rhetmap 4]","Newark, DE 19716",https://apply.interfolio.com/38606
Eastern Connecticut State University,Assistant Professor of English-Rhetoric and Composition [rhetmap 5],"Willimantic, Connecticut",www.easternct.edu/humanresources/jobs/faculty-positions/#Rhetoric
College of Charleston,Instructor of English [26352],"66 George St, Charleston, SC 29424",https://apply.interfolio.com/38757
Carleton C,Director of Writing Across the Curriculum [26354],"One N College St, Northfield, MN 55057",https://apply.interfolio.com/38763
Michigan SU,Cultural Rhetorics (Associate/Full) [26274],"319 Linton Hall, East Lansing, MI 48824",https://apply.interfolio.com/38708
Oglethorpe U,Assistant Professor of English and Comparative Literature [26275],"4484 Peachtree Rd NE, Atlanta, GA 30319",https://apply.interfolio.com/38709
Roger Williams U,Assistant Professor of Writing Studies - Tenure Track [26290],"One Old Ferry Road, Bristol, RI 02809",https://apply.interfolio.com/38710
"U of California, Davis",Rhetoric and Composition: Entry-Level Writing Assistant or Associate Professor [26355],"One Shields Avenue, Davis, CA 95616",https://apply.interfolio.com/38759
U of Central Arkansas,Assistant Professor in Writing: Composition Specialist [26292],"201 Donaghey Avenue Thompson Hall 311, Conway, AR 72035",https://apply.interfolio.com/38712
U of Pittsburgh,Assistant or advanced Assistant Professor in Composition [26317],"526 Cathedral of Learning, Pittsburgh, PA 15260",https://apply.interfolio.com/38720
U of South Florida,"Associate Professor, Professional Writing, Rhetoric and Technology [26272]","4202 E Fowler Av, CPR 107, Tampa, FL 33620",https://apply.interfolio.com/38706
Weber SU,Assistant Professor of English - Professional and Technical Writing [26313],"1395 Edvalson St, Dept 1404, Ogden, UT 84408",https://apply.interfolio.com/38718
Salt Lake Community College,Assistant Professor of English [rhetmap 6],"Salt Lake City, UT, 84123",https://jobs.slcc.edu/postings/34357
Austin C,Director of Writing/Assistant Professor [26418],"900 N Grand Ave Suite 6D, Sherman, TX 75090",https://apply.interfolio.com/38936
"Baruch C, CUNY",Lecturer - English [26397],"1 Bernard Baruch Way, New York, NY 10010",https://apply.interfolio.com/38931
"California SU, Monterey Bay",Assistant Professor of Composition Studies [26394],"100 Campus Ctr, Seaside, CA 93955",https://apply.interfolio.com/38929
Georgia Gwinnett C,"English: Instructor, Assistant, Associate, or Full Professor - Fall 2017 [26364]","1000 University Center Ln, Lawrenceville, GA 30043",https://apply.interfolio.com/38918
Hofstra U,Assistant Professor of Writing Studies and Composition [26372],"Hempstead, NY 11549",https://apply.interfolio.com/38845
Kennesaw SU,Director of Composition and Associate Professor or Professor of English [26442],"1000 Chastain Rd, #2701, Kennesaw, GA 30144",https://apply.interfolio.com/38945
Michigan Tech U,Assistant Professor of Rhetoric and Composition [26446],"1400 Townsend Dr, Houghton, MI 49931",https://apply.interfolio.com/38947
Northwestern U in Qatar,Faculty Positions in English Composition and Literature [26413],"Doha, Qatar",https://apply.interfolio.com/38935
Oakton Comm C,Professor of English [26449],"1600 E Golf Rd, Des Plaines, IL 60016",https://apply.interfolio.com/38949
SC Governors School for Science & Math,English Instructor [26367],"401 Railroad Avenue, Hartsville, SC 29550",https://apply.interfolio.com/38920
"U of Arkansas, Fayetteville","Assistant Professor of Rhetoric, Composition, and Writing Program Administration [26410]","333 Kimpel Hall, Fayetteville, AR 72701",https://apply.interfolio.com/38933
U of Delaware,"Assistant Professor of English, Continuing Track (Associate Director of Writing Center) [26363]","203 Memorial Hall, Newark, DE 19716",https://apply.interfolio.com/38606
U of Southern California,Teaching Faculty Positions in Writing [26453],"950 W Jefferson Blvd, Rm 150 JEF 150, MC 1293, Los Angeles, CA 90089",https://apply.interfolio.com/38952
